
"KS201UK - Ethnic group"
"ONS Crown Copyright Reserved [from Nomis on 28 May 2016]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"

"Area","mnemonic","White","Gypsy / Traveller / Irish Traveller","Mixed / Multiple ethnic group","Asian / Asian British: Indian","Asian / Asian British: Pakistani","Asian / Asian British: Bangladeshi","Asian / Asian British: Chinese","Asian / Asian British: Other Asian","Black / African / Caribbean / Black British","Other Ethnic Group"
"ualad09:Waveney","E07000206",97.6,0.1,1.1,0.2,0.0,0.1,0.3,0.3,0.3,0.1
"ualad09:Camden","E09000007",66.2,0.1,5.6,2.8,0.7,5.7,2.9,4.0,8.2,3.8
"ualad09:City of London","E09000001",78.6,0.0,3.9,2.9,0.2,3.1,3.6,2.9,2.6,2.1
"ualad09:Hackney","E09000012",54.5,0.2,6.4,3.1,0.8,2.5,1.4,2.7,23.1,5.3
"ualad09:Hammersmith and Fulham","E09000013",68.0,0.1,5.5,1.9,0.9,0.6,1.7,4.0,11.8,5.5
"ualad09:Haringey","E09000014",60.4,0.1,6.5,2.3,0.8,1.7,1.5,3.2,18.8,4.7
"ualad09:Islington","E09000019",68.1,0.1,6.5,1.7,0.5,2.3,2.2,2.6,12.8,3.4
"ualad09:Kensington and Chelsea","E09000020",70.5,0.1,5.7,1.6,0.6,0.5,2.5,4.8,6.5,7.2
"ualad09:Lambeth","E09000022",57.0,0.1,7.6,1.6,1.0,0.7,1.5,2.0,25.9,2.4
"ualad09:Lewisham","E09000023",53.5,0.1,7.4,1.7,0.6,0.5,2.2,4.3,27.2,2.6
"ualad09:Newham","E09000025",28.8,0.2,4.5,13.8,9.8,12.1,1.3,6.5,19.6,3.5
"ualad09:Southwark","E09000028",54.1,0.1,6.2,2.0,0.6,1.4,2.8,2.7,26.9,3.3
"ualad09:Tower Hamlets","E09000030",45.1,0.1,4.1,2.7,1.0,32.0,3.2,2.3,7.3,2.3
"ualad09:Wandsworth","E09000032",71.4,0.1,5.0,2.8,3.2,0.5,1.2,3.2,10.7,2.1
"ualad09:Westminster","E09000033",61.6,0.0,5.2,3.3,1.1,2.9,2.7,4.6,7.5,11.1
"ualad09:Barking and Dagenham","E09000002",58.2,0.1,4.2,4.0,4.3,4.1,0.7,2.8,20.0,1.6
"ualad09:Barnet","E09000003",64.1,0.0,4.8,7.8,1.5,0.6,2.3,6.2,7.7,4.9
"ualad09:Bexley","E09000004",81.6,0.3,2.3,3.0,0.3,0.3,1.1,1.8,8.5,0.8
"ualad09:Brent","E09000005",36.2,0.1,5.1,18.6,4.6,0.6,1.0,9.2,18.8,5.8
"ualad09:Bromley","E09000006",84.1,0.2,3.5,2.0,0.3,0.4,0.9,1.6,6.0,0.9
"ualad09:Croydon","E09000008",55.0,0.1,6.6,6.8,3.0,0.7,1.1,4.8,20.2,1.8
"ualad09:Ealing","E09000009",48.9,0.1,4.5,14.3,4.3,0.5,1.2,9.3,10.9,6.0
"ualad09:Enfield","E09000010",60.9,0.1,5.5,3.7,0.8,1.8,0.8,4.0,17.2,5.1
"ualad09:Greenwich","E09000011",62.3,0.2,4.8,3.1,1.0,0.6,2.0,5.0,19.1,1.9
"ualad09:Harrow","E09000015",42.2,0.1,4.0,26.4,3.3,0.6,1.1,11.3,8.2,2.9
"ualad09:Havering","E09000016",87.6,0.1,2.1,2.1,0.6,0.4,0.6,1.1,4.8,0.6
"ualad09:Hillingdon","E09000017",60.5,0.1,3.8,13.4,3.4,1.0,1.1,6.5,7.3,3.0
"ualad09:Hounslow","E09000018",51.3,0.1,4.1,19.0,5.4,0.9,0.9,8.2,6.6,3.6
"ualad09:Kingston upon Thames","E09000021",74.4,0.1,3.9,4.0,1.9,0.6,1.8,8.1,2.5,2.7
"ualad09:Merton","E09000024",64.8,0.1,4.7,4.1,3.7,1.1,1.3,7.9,10.4,1.9
"ualad09:Redbridge","E09000026",42.5,0.1,4.1,16.4,11.1,5.7,1.1,7.4,8.9,2.7
"ualad09:Richmond upon Thames","E09000027",85.9,0.1,3.6,2.8,0.6,0.5,0.9,2.5,1.5,1.6
"ualad09:Sutton","E09000029",78.5,0.1,3.8,3.4,1.4,0.6,1.2,5.0,4.8,1.3
"ualad09:Waltham Forest","E09000031",52.1,0.1,5.3,3.5,10.2,1.8,1.0,4.5,17.3,4.1
"ualad09:Bracknell Forest","E06000036",90.5,0.1,2.0,1.8,0.5,0.1,0.5,2.2,1.9,0.4
"ualad09:Brighton and Hove","E06000043",89.0,0.1,3.8,1.1,0.2,0.5,1.1,1.2,1.5,1.5
"ualad09:Isle of Wight","E06000046",97.2,0.1,1.2,0.3,0.1,0.1,0.2,0.5,0.2,0.1
"ualad09:Medway","E06000035",89.4,0.2,2.0,2.7,0.6,0.5,0.4,1.0,2.5,0.7
"ualad09:Milton Keynes","E06000042",80.0,0.0,3.3,3.3,1.5,0.8,1.1,2.5,6.9,0.6
"ualad09:Portsmouth","E06000044",88.3,0.0,2.7,1.4,0.3,1.8,1.3,1.3,1.8,1.1
"ualad09:Reading","E06000038",74.7,0.1,4.0,4.2,4.5,0.4,1.0,3.5,6.7,1.0
"ualad09:Slough","E06000039",45.5,0.2,3.4,15.6,17.7,0.4,0.6,5.4,8.6,2.6
"ualad09:Southampton","E06000045",85.8,0.1,2.4,2.8,1.3,0.6,1.5,2.2,2.1,1.1
"ualad09:West Berkshire","E06000037",94.7,0.1,1.6,1.1,0.3,0.1,0.4,0.5,0.9,0.2
"ualad09:Windsor and Maidenhead","E06000040",86.0,0.2,2.3,4.1,2.9,0.3,0.7,1.6,1.2,0.8
"ualad09:Wokingham","E06000041",88.2,0.2,2.1,3.5,1.9,0.1,0.8,1.2,1.4,0.7
"ualad09:Aylesbury Vale","E07000004",89.6,0.1,2.2,1.1,3.1,0.1,0.4,1.1,1.9,0.4
"ualad09:Chiltern","E07000005",91.4,0.1,2.2,1.9,1.9,0.1,0.5,1.0,0.6,0.3
"ualad09:South Bucks","E07000006",83.9,0.4,2.4,7.1,1.4,0.3,0.8,1.7,1.1,1.0
"ualad09:Wycombe","E07000007",81.2,0.1,2.8,1.7,7.6,0.3,0.6,1.8,3.5,0.5
"ualad09:Eastbourne","E07000061",94.0,0.1,1.8,0.7,0.1,0.3,0.6,1.1,0.8,0.5
"ualad09:Hastings","E07000062",93.6,0.2,2.2,0.5,0.1,0.3,0.4,1.0,1.2,0.5
"ualad09:Lewes","E07000063",96.5,0.1,1.3,0.4,0.1,0.2,0.3,0.5,0.4,0.3
"ualad09:Rother","E07000064",96.9,0.1,1.1,0.3,0.0,0.1,0.2,0.5,0.3,0.2
"ualad09:Wealden","E07000065",97.2,0.2,1.0,0.3,0.0,0.1,0.3,0.4,0.2,0.2
"ualad09:Basingstoke and Deane","E07000084",92.8,0.1,1.7,1.5,0.2,0.2,0.7,1.4,1.1,0.3
"ualad09:East Hampshire","E07000085",96.3,0.2,1.1,0.4,0.0,0.1,0.3,0.7,0.4,0.3
"ualad09:Eastleigh","E07000086",94.5,0.2,1.4,1.6,0.1,0.2,0.5,0.6,0.5,0.5
"ualad09:Fareham","E07000087",96.7,0.1,1.2,0.6,0.1,0.1,0.4,0.3,0.3,0.2
"ualad09:Gosport","E07000088",96.4,0.0,1.3,0.5,0.0,0.2,0.3,0.3,0.7,0.2
"ualad09:Hart","E07000089",94.6,0.3,1.6,1.0,0.2,0.1,0.5,0.9,0.6,0.3
"ualad09:Havant","E07000090",97.0,0.1,1.3,0.4,0.1,0.1,0.3,0.3,0.3,0.2
"ualad09:New Forest","E07000091",97.3,0.2,0.9,0.3,0.0,0.1,0.2,0.4,0.3,0.2
"ualad09:Rushmoor","E07000092",84.6,0.2,2.2,1.4,0.7,0.2,0.5,7.6,2.0,0.6
"ualad09:Test Valley","E07000093",95.8,0.1,1.3,0.8,0.1,0.1,0.4,0.6,0.4,0.3
"ualad09:Winchester","E07000094",95.5,0.2,1.4,0.6,0.1,0.2,0.6,0.8,0.4,0.3
"ualad09:Ashford","E07000105",93.2,0.5,1.4,0.8,0.1,0.2,0.4,1.9,1.2,0.3
"ualad09:Canterbury","E07000106",92.8,0.2,1.7,1.0,0.2,0.2,1.0,1.1,1.3,0.6
"ualad09:Dartford","E07000107",87.1,0.3,2.2,2.7,0.2,0.4,0.6,2.0,3.7,0.8
"ualad09:Dover","E07000108",96.5,0.2,0.9,0.4,0.0,0.1,0.2,1.0,0.3,0.2
"ualad09:Gravesham","E07000109",82.5,0.3,2.0,7.4,0.5,0.5,0.3,1.7,2.8,1.9
"ualad09:Maidstone","E07000110",93.6,0.5,1.5,0.8,0.2,0.2,0.3,1.6,0.9,0.3
"ualad09:Sevenoaks","E07000111",95.4,0.3,1.5,0.6,0.1,0.1,0.4,0.5,0.7,0.2
"ualad09:Shepway","E07000112",94.5,0.2,1.2,0.4,0.1,0.2,0.3,2.5,0.4,0.3
"ualad09:Swale","E07000113",96.0,0.5,1.2,0.4,0.1,0.2,0.2,0.3,1.0,0.2
"ualad09:Thanet","E07000114",95.4,0.1,1.6,0.5,0.1,0.1,0.3,0.7,0.7,0.3
"ualad09:Tonbridge and Malling","E07000115",95.6,0.3,1.4,0.6,0.1,0.2,0.4,0.6,0.3,0.3
"ualad09:Tunbridge Wells","E07000116",94.7,0.3,1.6,0.6,0.2,0.4,0.5,0.8,0.6,0.3
"ualad09:Cherwell","E07000177",92.1,0.1,1.8,1.2,1.7,0.1,0.5,0.8,1.4,0.4
"ualad09:Oxford","E07000178",77.6,0.1,4.0,2.9,3.2,1.2,2.3,2.8,4.6,1.4
"ualad09:South Oxfordshire","E07000179",96.0,0.1,1.3,0.6,0.1,0.1,0.3,0.6,0.6,0.2
"ualad09:Vale of White Horse","E07000180",94.8,0.1,1.3,0.7,0.3,0.2,0.5,0.8,1.0,0.3
"ualad09:West Oxfordshire","E07000181",96.7,0.2,1.2,0.3,0.1,0.1,0.3,0.5,0.4,0.2
"ualad09:Elmbridge","E07000207",90.1,0.1,2.6,1.9,0.4,0.4,0.9,1.8,0.8,1.0
"ualad09:Epsom and Ewell","E07000208",85.7,0.2,2.6,2.4,0.9,0.4,1.2,3.7,1.5,1.4
"ualad09:Guildford","E07000209",90.5,0.4,1.8,1.2,0.4,0.2,1.4,1.7,1.2,1.2
"ualad09:Mole Valley","E07000210",94.9,0.1,1.5,0.8,0.2,0.2,0.4,0.9,0.5,0.4
"ualad09:Reigate and Banstead","E07000211",90.5,0.1,2.2,1.6,0.9,0.4,0.7,1.6,1.6,0.6
"ualad09:Runnymede","E07000212",88.7,0.3,2.1,2.5,0.5,0.3,1.5,2.2,1.1,1.0
"ualad09:Spelthorne","E07000213",87.1,0.2,2.5,4.2,0.7,0.3,0.6,1.8,1.6,1.0
"ualad09:Surrey Heath","E07000214",90.0,0.2,1.9,2.0,0.8,0.3,0.6,2.5,1.0,0.7
"ualad09:Tandridge","E07000215",93.5,0.3,2.2,0.9,0.2,0.1,0.5,0.9,1.1,0.3
"ualad09:Waverley","E07000216",95.9,0.1,1.3,0.4,0.2,0.1,0.5,0.6,0.4,0.3
"ualad09:Woking","E07000217",83.4,0.2,2.4,2.3,5.7,0.5,0.9,2.1,1.4,1.1
"ualad09:Adur","E07000223",95.7,0.2,1.4,0.4,0.1,0.4,0.4,0.4,0.5,0.4
"ualad09:Arun","E07000224",96.9,0.1,1.0,0.3,0.1,0.2,0.3,0.5,0.4,0.2
"ualad09:Chichester","E07000225",96.7,0.2,1.0,0.4,0.0,0.1,0.3,0.6,0.5,0.2
"ualad09:Crawley","E07000226",79.8,0.1,2.9,5.2,4.3,0.4,0.5,2.6,3.3,1.0
"ualad09:Horsham","E07000227",95.8,0.2,1.4,0.6,0.1,0.2,0.4,0.8,0.5,0.2
"ualad09:Mid Sussex","E07000228",95.0,0.1,1.4,1.0,0.1,0.3,0.4,0.9,0.6,0.2
"ualad09:Worthing","E07000229",93.7,0.1,1.8,0.7,0.2,0.5,0.5,1.3,0.8,0.4
"ualad09:Bath and North East Somerset","E06000022",94.5,0.0,1.6,0.6,0.1,0.1,1.1,0.7,0.8,0.4
"ualad09:Bournemouth","E06000028",91.9,0.1,2.3,1.1,0.1,0.2,1.0,1.5,1.0,0.9
"ualad09:Bristol, City of","E06000023",83.9,0.1,3.6,1.5,1.6,0.5,0.9,1.0,6.0,0.9
"ualad09:Cornwall","E06000052",98.1,0.1,0.8,0.2,0.0,0.1,0.2,0.2,0.1,0.2
"ualad09:Isles of Scilly","E06000053",98.8,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.1,0.2
"ualad09:North Somerset","E06000024",97.2,0.1,1.0,0.4,0.1,0.1,0.3,0.3,0.3,0.2
"ualad09:Plymouth","E06000026",96.1,0.1,1.3,0.3,0.1,0.1,0.5,0.5,0.7,0.4
"ualad09:Poole","E06000029",95.7,0.1,1.3,0.7,0.1,0.3,0.5,0.7,0.4,0.3
"ualad09:South Gloucestershire","E06000025",94.9,0.1,1.4,1.0,0.3,0.1,0.5,0.6,0.8,0.3
"ualad09:Swindon","E06000030",89.8,0.1,2.0,3.3,0.6,0.4,0.5,1.6,1.4,0.4
"ualad09:Torbay","E06000027",97.5,0.0,1.1,0.3,0.1,0.1,0.2,0.4,0.2,0.2
"ualad09:Wiltshire","E06000054",96.4,0.2,1.2,0.3,0.0,0.1,0.3,0.6,0.7,0.2
"ualad09:East Devon","E07000040",98.3,0.1,0.7,0.2,0.0,0.1,0.2,0.3,0.1,0.1
"ualad09:Exeter","E07000041",93.0,0.1,1.6,0.8,0.1,0.2,1.7,1.1,0.6,0.8
"ualad09:Mid Devon","E07000042",98.5,0.1,0.6,0.1,0.0,0.0,0.2,0.2,0.1,0.1
"ualad09:North Devon","E07000043",97.9,0.0,0.8,0.2,0.1,0.1,0.2,0.3,0.2,0.2
"ualad09:South Hams","E07000044",98.3,0.1,0.8,0.1,0.0,0.1,0.1,0.2,0.1,0.1
"ualad09:Teignbridge","E07000045",98.2,0.1,0.7,0.1,0.0,0.1,0.3,0.2,0.1,0.1
"ualad09:Torridge","E07000046",98.6,0.1,0.7,0.1,0.0,0.0,0.2,0.1,0.1,0.1
"ualad09:West Devon","E07000047",98.4,0.0,0.8,0.1,0.0,0.0,0.2,0.2,0.1,0.1
"ualad09:Christchurch","E07000048",97.5,0.1,1.1,0.2,0.0,0.1,0.4,0.4,0.2,0.2
"ualad09:East Dorset","E07000049",98.1,0.2,0.7,0.2,0.0,0.2,0.2,0.2,0.1,0.1
"ualad09:North Dorset","E07000050",97.5,0.1,0.8,0.2,0.0,0.1,0.2,0.7,0.3,0.1
"ualad09:Purbeck","E07000051",98.4,0.2,0.7,0.1,0.0,0.1,0.1,0.2,0.1,0.1
"ualad09:West Dorset","E07000052",97.9,0.1,0.8,0.2,0.1,0.1,0.2,0.3,0.2,0.1
"ualad09:Weymouth and Portland","E07000053",97.3,0.1,1.0,0.1,0.0,0.1,0.3,0.4,0.5,0.1
"ualad09:Cheltenham","E07000078",94.2,0.1,1.6,1.4,0.2,0.3,0.7,0.7,0.6,0.3
"ualad09:Cotswold","E07000079",97.7,0.1,0.8,0.3,0.0,0.0,0.3,0.4,0.3,0.1
"ualad09:Forest of Dean","E07000080",98.4,0.1,0.6,0.2,0.0,0.0,0.2,0.2,0.2,0.1
"ualad09:Gloucester","E07000081",89.0,0.1,2.9,2.6,0.5,0.4,0.4,0.9,2.9,0.3
"ualad09:Stroud","E07000082",97.9,0.1,1.1,0.2,0.0,0.0,0.2,0.3,0.2,0.1
"ualad09:Tewkesbury","E07000083",97.1,0.4,0.9,0.5,0.1,0.1,0.2,0.3,0.3,0.1
"ualad09:Mendip","E07000187",97.7,0.2,0.9,0.2,0.0,0.1,0.2,0.3,0.2,0.1
"ualad09:Sedgemoor","E07000188",98.3,0.1,0.8,0.1,0.0,0.1,0.1,0.2,0.1,0.1
"ualad09:South Somerset","E07000189",98.0,0.1,0.7,0.2,0.1,0.1,0.2,0.3,0.2,0.1
"ualad09:Taunton Deane","E07000190",97.0,0.2,0.9,0.3,0.1,0.1,0.4,0.6,0.3,0.2
"ualad09:West Somerset","E07000191",98.7,0.0,0.6,0.1,0.0,0.1,0.1,0.3,0.1,0.1
"ualad09:Anglesey","W06000001",98.1,0.1,0.7,0.2,0.0,0.1,0.2,0.2,0.1,0.3
"ualad09:Gwynedd","W06000002",96.3,0.1,0.8,0.4,0.2,0.1,0.7,0.3,0.2,0.7
"ualad09:Conwy","W06000003",97.6,0.1,0.8,0.3,0.1,0.1,0.3,0.3,0.2,0.3
"ualad09:Denbighshire","W06000004",97.3,0.0,0.8,0.3,0.2,0.1,0.4,0.6,0.2,0.1
"ualad09:Flintshire","W06000005",98.4,0.1,0.6,0.2,0.1,0.1,0.2,0.2,0.1,0.1
"ualad09:Wrexham","W06000006",96.8,0.1,0.7,0.6,0.1,0.2,0.3,0.5,0.5,0.2
"ualad09:Powys","W06000023",98.3,0.1,0.6,0.1,0.0,0.1,0.1,0.6,0.1,0.1
"ualad09:Ceredigion","W06000008",96.6,0.1,1.0,0.5,0.1,0.1,0.4,0.3,0.4,0.5
"ualad09:Pembrokeshire","W06000009",97.7,0.4,0.6,0.3,0.1,0.1,0.2,0.4,0.1,0.2
"ualad09:Carmarthenshire","W06000010",97.9,0.2,0.6,0.3,0.1,0.1,0.2,0.4,0.2,0.2
"ualad09:Swansea","W06000011",94.0,0.0,0.9,0.6,0.2,0.8,0.9,0.7,0.8,1.0
"ualad09:Neath Port Talbot","W06000012",98.0,0.1,0.7,0.2,0.1,0.2,0.2,0.3,0.2,0.1
"ualad09:Bridgend","W06000013",97.7,0.0,0.7,0.2,0.1,0.1,0.3,0.4,0.2,0.2
"ualad09:The Vale of Glamorgan","W06000014",96.4,0.0,1.3,0.4,0.2,0.1,0.4,0.5,0.4,0.3
"ualad09:Cardiff","W06000015",84.5,0.2,2.9,2.3,1.8,1.4,1.2,1.3,2.4,2.0
"ualad09:Rhondda, Cynon, Taff","W06000016",97.3,0.0,0.6,0.3,0.1,0.0,0.5,0.4,0.6,0.1
"ualad09:Merthyr Tydfil","W06000024",97.5,0.1,0.8,0.3,0.1,0.1,0.2,0.5,0.2,0.2
"ualad09:Caerphilly","W06000018",98.3,0.0,0.7,0.2,0.1,0.0,0.3,0.2,0.1,0.1
"ualad09:Blaenau Gwent","W06000019",98.4,0.1,0.6,0.3,0.1,0.0,0.2,0.1,0.1,0.1
"ualad09:Torfaen","W06000020",97.8,0.2,0.7,0.2,0.1,0.1,0.2,0.5,0.2,0.1
"ualad09:Monmouthshire","W06000021",98.0,0.0,0.7,0.3,0.1,0.0,0.2,0.4,0.2,0.1
"ualad09:Newport","W06000022",89.8,0.1,1.9,0.8,2.1,1.2,0.4,0.9,1.7,1.0
"ualad09:Aberdeen City","S12000033",91.8,0.1,0.7,1.5,0.5,0.3,1.0,1.0,2.5,0.6
"ualad09:Aberdeenshire","S12000034",98.4,0.1,0.3,0.2,0.1,0.1,0.2,0.3,0.3,0.1
"ualad09:Angus","S12000041",98.5,0.2,0.2,0.1,0.2,0.0,0.2,0.2,0.2,0.1
"ualad09:Argyll and Bute","S12000035",98.6,0.1,0.3,0.1,0.1,0.0,0.2,0.2,0.2,0.1
"ualad09:Clackmannanshire","S12000005",98.3,0.1,0.2,0.2,0.6,0.0,0.2,0.1,0.2,0.0
"ualad09:Dumfries and Galloway","S12000006",98.8,0.1,0.3,0.2,0.1,0.0,0.2,0.2,0.1,0.1
"ualad09:Dundee City","S12000042",94.0,0.1,0.5,1.0,1.4,0.2,0.9,0.5,1.0,0.6
"ualad09:East Ayrshire","S12000008",98.8,0.0,0.2,0.2,0.2,0.0,0.3,0.1,0.1,0.1
"ualad09:East Dunbartonshire","S12000045",95.8,0.0,0.4,1.5,0.7,0.0,0.7,0.4,0.2,0.3
"ualad09:East Lothian","S12000010",98.3,0.0,0.4,0.3,0.3,0.0,0.2,0.1,0.3,0.1
"ualad09:East Renfrewshire","S12000011",94.1,0.0,0.4,1.2,3.1,0.0,0.5,0.3,0.2,0.3
"ualad09:Edinburgh, City of","S12000036",91.6,0.1,0.9,1.4,1.2,0.3,1.7,1.0,1.2,0.8
"ualad09:Eilean Siar","S12000013",99.1,0.0,0.2,0.1,0.1,0.0,0.0,0.2,0.1,0.1
"ualad09:Falkirk","S12000014",98.0,0.1,0.2,0.3,0.7,0.0,0.2,0.1,0.2,0.1
"ualad09:Fife","S12000015",97.5,0.1,0.3,0.3,0.5,0.0,0.5,0.3,0.3,0.1
"ualad09:Glasgow City","S12000046",88.4,0.1,0.5,1.5,3.8,0.1,1.8,0.9,2.4,0.6
"ualad09:Highland","S12000017",98.5,0.1,0.3,0.2,0.1,0.1,0.2,0.2,0.2,0.1
"ualad09:Inverclyde","S12000018",98.6,0.0,0.2,0.3,0.2,0.0,0.2,0.1,0.2,0.1
"ualad09:Midlothian","S12000019",98.1,0.1,0.3,0.2,0.4,0.0,0.2,0.2,0.3,0.1
"ualad09:Moray","S12000020",98.8,0.1,0.2,0.1,0.2,0.0,0.2,0.2,0.2,0.1
"ualad09:North Ayrshire","S12000021",98.9,0.0,0.2,0.2,0.1,0.0,0.2,0.1,0.1,0.1
"ualad09:North Lanarkshire","S12000044",97.9,0.1,0.2,0.3,0.9,0.0,0.3,0.1,0.2,0.1
"ualad09:Orkney Islands","S12000023",99.3,0.0,0.2,0.1,0.1,0.0,0.1,0.1,0.1,0.1
"ualad09:Perth and Kinross","S12000024",97.7,0.3,0.3,0.4,0.2,0.0,0.3,0.3,0.3,0.2
"ualad09:Renfrewshire","S12000038",97.2,0.0,0.2,0.6,0.6,0.0,0.5,0.2,0.5,0.2
"ualad09:Scottish Borders","S12000026",98.7,0.1,0.3,0.2,0.1,0.0,0.2,0.2,0.3,0.1
"ualad09:Shetland Islands","S12000027",98.4,0.0,0.3,0.1,0.2,0.1,0.3,0.3,0.1,0.1
"ualad09:South Ayrshire","S12000028",98.7,0.1,0.3,0.2,0.1,0.0,0.2,0.1,0.1,0.1
"ualad09:South Lanarkshire","S12000029",97.6,0.1,0.2,0.4,0.7,0.0,0.3,0.2,0.3,0.1
"ualad09:Stirling","S12000030",96.8,0.1,0.4,0.4,0.3,0.0,1.1,0.5,0.3,0.2
"ualad09:West Dunbartonshire","S12000039",98.3,0.1,0.2,0.3,0.3,0.0,0.2,0.2,0.3,0.1
"ualad09:West Lothian","S12000040",97.5,0.0,0.3,0.4,0.8,0.0,0.3,0.2,0.3,0.1
"ualad09:Antrim","95AA",97.9,0.0,0.4,0.7,0.1,0.0,0.3,0.3,0.3,0.1
"ualad09:Ards","95BB",99.0,0.0,0.3,0.1,0.0,0.2,0.2,0.2,0.1,0.1
"ualad09:Armagh","95CC",99.1,0.1,0.2,0.2,0.0,0.0,0.2,0.1,0.0,0.1
"ualad09:Ballymena","95DD",98.9,0.1,0.2,0.1,0.1,0.0,0.2,0.2,0.1,0.1
"ualad09:Ballymoney","95EE",99.5,0.0,0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.0
"ualad09:Banbridge","95FF",99.2,0.0,0.2,0.1,0.0,0.0,0.2,0.1,0.0,0.1
"ualad09:Belfast","95GG",96.4,0.1,0.5,0.8,0.1,0.1,0.8,0.7,0.4,0.2
"ualad09:Carrickfergus","95HH",98.7,0.0,0.4,0.2,0.0,0.0,0.2,0.2,0.1,0.1
"ualad09:Castlereagh","95II",97.1,0.0,0.5,0.5,0.1,0.1,0.7,0.7,0.2,0.2
"ualad09:Coleraine","95JJ",98.5,0.0,0.3,0.2,0.1,0.0,0.4,0.2,0.1,0.1
"ualad09:Cookstown","95KK",99.1,0.0,0.2,0.1,0.0,0.0,0.2,0.0,0.3,0.0
"ualad09:Craigavon","95LL",97.9,0.1,0.4,0.3,0.2,0.0,0.4,0.4,0.3,0.1
"ualad09:Derry","95MM",98.3,0.1,0.4,0.6,0.0,0.0,0.2,0.2,0.2,0.1
"ualad09:Down","95NN",98.8,0.0,0.3,0.2,0.0,0.0,0.2,0.1,0.2,0.1
"ualad09:Dungannon","95OO",97.5,0.4,0.4,0.2,0.0,0.0,0.2,0.2,0.6,0.4
"ualad09:Fermanagh","95PP",99.0,0.1,0.2,0.2,0.1,0.0,0.1,0.2,0.0,0.1
"ualad09:Larne","95QQ",99.4,0.0,0.2,0.1,0.0,0.0,0.2,0.0,0.0,0.0
"ualad09:Limavady","95RR",99.3,0.1,0.2,0.1,0.0,0.0,0.1,0.2,0.0,0.1
"ualad09:Lisburn","95SS",98.3,0.1,0.4,0.4,0.0,0.0,0.3,0.2,0.2,0.1
"ualad09:Magherafelt","95TT",99.2,0.0,0.2,0.1,0.0,0.0,0.2,0.1,0.0,0.1
"ualad09:Moyle","95UU",99.2,0.0,0.2,0.2,0.0,0.0,0.2,0.1,0.0,0.1
"ualad09:Newry and Mourne","95VV",99.0,0.2,0.2,0.1,0.0,0.0,0.2,0.1,0.1,0.1
"ualad09:Newtownabbey","95WW",97.9,0.0,0.4,0.5,0.1,0.0,0.6,0.3,0.1,0.1
"ualad09:North Down","95XX",98.1,0.0,0.5,0.3,0.1,0.1,0.3,0.2,0.3,0.1
"ualad09:Omagh","95YY",99.1,0.2,0.2,0.1,0.0,0.0,0.1,0.2,0.0,0.1
"ualad09:Strabane","95ZZ",99.2,0.1,0.2,0.2,0.0,0.0,0.1,0.1,0.0,0.1




"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas. Some counts will"
"","be affected, particularly small counts at the lowest geographies"
"","be affected, particularly small counts at the lowest geographies"

