mnemonic,% who gave national identity as British,% who gave national identity as English,% who gave national identity as Irish,% who gave national identity as Other,% who gave national identity as Scottish,% who gave national identity as Welsh,Percentage of population who are white UK born,Percentage of population who are white not UK born,Percentage of population who are ethnic minority UK born,Percentage of population who are ethnic minority not UK born,Percentage of population aged 16-64 who are white UK born,Percentage of  population aged 16-64 who are white not UK born,Percentage of  population aged 16-64 who are ethnic minority UK born,Percentage of  population aged 16-64 who are ethnic minority not UK born,Employment rate - aged 16-64 white UK born,Employment rate - aged 16-64 white not UK born,Employment rate - aged 16-64 ethnic minority UK born,Employment rate - aged 16-64 ethnic minority not UK born,Unemployment rate  - aged 16+ white UK born,Unemployment rate  - aged 16+ white not UK born,Unemployment rate  - aged 16+ ethnic minority UK born,Unemployment rate  - aged 16+ ethnic minority not UK born,Economic inactivity rate - aged 16-64 white UK born,Economic inactivity rate - aged 16-64 white not UK born,Economic inactivity rate - aged 16-64 ethnic minority UK born,Economic inactivity rate - aged 16-64 ethnic minority not UK born,Economic activity rate - aged 16-64,Employment rate - aged 16-64,Unemployment rate - aged 16-64,"% all in employment who are - 1: managers, directors and senior officials (SOC2010)",% all in employment who are - 2: professional occupations (SOC2010),% all in employment who are - 3: associate prof & tech occupations (SOC2010),% all in employment who are - 4: administrative and secretarial occupations (SOC2010),% all in employment who are - 5: skilled trades occupations (SOC2010),"% all in employment who are - 6: caring, leisure and other service occupations (SOC2010)",% all in employment who are - 7: sales and customer service occupations (SOC2010),"% all in employment who are - 8: process, plant and machine operatives (SOC2010)",% all in employment who are - 9: elementary occupations (SOC2010),Percentage of population who are white UK national,Percentage of population who are white not UK national,Percentage of population who are ethnic minority UK national,Percentage of population who are ethnic minority not UK national,Percentage of  population aged 16-64 who are white UK national,Percentage of  population aged 16-64 who are white not UK national,Percentage of  population aged 16-64 who are ethnic minority UK national,Percentage of  population aged 16-64 who are ethnic minority not UK national,Employment rate - aged 16-64 white UK national,Employment rate - aged 16-64 white not UK national,Employment rate - aged 16-64 ethnic minority UK national,Employment rate - aged 16-64 ethnic minority not UK national,Unemployment rate  - aged 16+ white UK national,Unemployment rate  - aged 16+ white not UK national,Unemployment rate  - aged 16+ ethnic minority UK national,Unemployment rate  - aged 16+ ethnic minority not UK national,Economic inactivity rate - aged 16-64 white UK national,Economic inactivity rate - aged 16-64 white not UK national,Economic inactivity rate - aged 16-64 ethnic minority UK national,Economic inactivity rate - aged 16-64 ethnic minority not UK national
S12000018,30.5,0.9,!,0.7,84.3,0.3,96.9,1.8,1.0,0.3,96.5,2.3,0.8,0.4,67.2,81.3,100.0,!,8.5,!,!,!,26.4,12.0,!,!,74.1,67.8,8.5,6.4,21.0,12.0,12.5,7.6,10.6,11.6,6.5,11.2,98.0,0.8,1.3,!,97.7,1.1,1.2,!,67.4,77.5,86.9,!,8.4,!,!,!,26.3,!,!,!
S12000019,28.0,2.5,!,3.1,78.2,!,94.3,2.8,0.7,2.2,94.1,2.7,!,3.0,75.4,75.4,!,63.3,3.8,!,!,!,21.6,18.3,!,26.9,78.4,75.1,4.3,7.3,20.1,11.1,13.8,12.3,10.5,10.5,3.4,10.7,95.6,1.5,1.2,1.6,94.8,2.0,0.7,2.3,75.4,75.0,!,65.7,3.8,!,!,!,21.6,!,!,!
S12000020,27.2,4.6,!,3.7,71.6,0.5,95.4,3.6,0.4,0.6,94.3,4.4,!,0.7,73.4,76.4,!,50.1,4.0,!,!,!,23.4,20.2,!,!,76.6,73.3,4.2,7.2,14.3,11.2,6.9,16.2,10.3,9.7,9.1,14.6,96.0,3.0,0.4,0.5,95.0,3.7,0.5,0.5,73.4,77.2,100.0,!,3.9,!,!,!,23.4,18.8,!,!
S12000021,35.0,1.7,!,0.9,79.2,!,98.2,1.2,0.3,0.4,97.9,1.6,!,0.5,64.5,36.1,!,72.3,10.8,!,!,!,27.7,50.4,!,!,71.9,64.1,10.9,9.2,12.7,12.3,11.9,11.6,10.9,8.3,9.6,12.6,98.8,0.5,0.5,!,98.6,0.9,!,!,64.2,42.7,!,!,10.9,!,!,!,28.0,43.9,!,!
S12000044,19.7,1.2,!,2.8,84.3,0.2,94.5,2.8,1.4,1.4,93.9,3.3,1.0,1.7,71.2,85.5,78.9,64.8,7.3,!,!,!,23.2,!,!,29.3,77.1,71.5,7.3,7.4,14.1,10.7,12.4,11.0,12.7,11.0,9.3,10.9,95.5,1.8,1.8,0.9,95.4,1.7,1.7,1.0,71.5,79.2,77.9,55.8,7.1,!,!,!,23.0,!,22.1,33.8
S12000023,26.5,6.8,!,2.6,80.5,3.9,98.8,1.2,!,!,99.6,!,!,!,87.2,!,!,!,!,!,!,!,10.6,!,!,!,89.0,86.8,!,10.9,8.9,12.4,10.9,12.8,9.2,6.3,10.6,16.5,99.8,!,!,!,99.3,!,!,!,86.7,!,!,!,!,!,!,!,11.1,!,!,!
S12000024,38.9,3.2,!,7.6,67.1,0.7,89.3,8.9,1.0,0.9,86.4,11.7,0.6,1.3,78.2,81.8,100.0,100.0,4.9,5.1,!,!,17.7,14.7,!,!,83.0,79.0,4.8,9.8,18.2,13.1,8.8,14.2,11.2,6.5,6.3,11.8,91.9,6.2,1.1,0.7,89.9,8.3,0.9,0.9,77.8,87.3,100.0,100.0,5.1,!,!,!,18.1,9.1,!,!
S12000038,32.6,1.2,!,4.6,76.5,0.3,94.2,3.7,0.7,1.4,92.7,4.8,0.6,1.7,73.9,86.4,75.7,50.2,5.4,!,!,!,21.7,13.6,!,44.7,78.3,74.0,5.5,8.9,19.8,14.9,11.3,7.2,10.8,10.4,7.2,9.0,94.6,3.2,0.9,1.2,93.4,4.1,0.9,1.5,74.1,84.1,74.2,46.4,5.4,!,!,!,21.6,15.9,!,47.6
S12000026,31.3,5.8,!,3.5,65.9,0.4,94.5,4.5,0.4,0.6,93.2,5.6,0.4,0.9,75.8,87.8,!,51.1,4.2,!,!,!,20.7,10.1,!,36.5,79.7,76.2,4.4,12.4,18.3,10.4,6.2,15.0,10.3,6.3,7.1,13.4,96.1,2.9,0.5,0.6,95.0,3.8,0.5,0.7,76.0,87.6,83.2,!,4.1,!,!,!,20.5,9.3,!,44.1
S12000027,31.2,5.4,!,2.8,72.9,!,97.8,1.2,!,!,96.4,2.0,!,!,88.0,100.0,!,!,!,!,!,!,12.0,!,!,!,87.3,87.3,!,5.8,14.1,13.6,13.1,22.5,10.2,6.1,5.1,9.5,97.8,1.2,!,!,96.4,2.0,!,!,88.0,100.0,!,!,!,!,!,!,12.0,!,!,!
S12000028,35.7,2.3,!,1.6,77.5,!,96.2,2.9,0.5,0.4,95.9,2.7,0.5,0.7,73.3,81.2,64.1,81.6,5.7,!,!,!,22.2,18.8,!,!,78.0,73.5,5.8,8.4,19.4,13.9,8.6,12.3,12.2,7.8,4.4,12.5,97.4,1.7,0.9,!,96.8,1.8,1.1,!,73.3,83.0,82.5,!,5.6,!,!,!,22.2,17.0,!,!
S12000029,28.0,1.6,!,2.8,79.8,!,94.5,2.3,2.1,1.1,94.3,3.0,1.2,1.5,76.8,73.9,74.3,50.7,4.4,!,!,!,19.6,19.5,25.7,49.3,79.9,76.3,4.6,8.5,16.7,12.4,15.3,10.6,8.2,10.0,6.8,11.1,95.2,1.6,2.5,0.7,95.4,1.9,1.9,0.8,76.6,79.2,64.1,54.8,4.6,!,!,!,19.5,20.8,35.9,45.2
S12000030,38.7,3.0,!,8.2,70.9,0.4,89.9,6.4,0.9,2.9,88.3,7.6,0.4,3.8,71.0,81.8,100.0,31.7,5.0,!,!,!,25.2,15.2,!,64.6,74.2,70.4,5.1,11.5,23.4,13.8,8.2,9.9,10.1,5.9,5.8,10.7,91.0,5.2,1.2,2.5,89.5,6.3,0.8,3.4,71.3,80.0,100.0,23.7,4.9,!,!,!,25.0,16.4,!,72.2
S12000039,27.3,1.0,!,1.0,82.5,!,96.9,1.8,0.7,0.6,96.8,2.1,!,0.8,68.6,64.8,!,100.0,7.2,!,!,!,26.1,35.2,!,!,74.0,68.9,6.9,4.5,13.8,14.9,8.8,10.4,13.1,12.5,8.1,13.2,98.0,0.8,1.2,!,98.0,0.9,1.1,!,68.6,55.6,100.0,!,7.1,!,!,!,26.1,44.4,!,!
S12000040,29.2,2.1,!,5.0,72.5,0.9,93.2,4.6,1.1,1.1,92.3,5.7,0.5,1.5,73.1,82.2,!,65.9,6.8,!,!,!,21.5,14.5,!,19.8,78.8,73.3,7.0,9.3,19.2,11.9,13.9,9.9,7.7,9.8,6.7,11.1,94.1,3.7,1.5,0.7,93.7,4.3,0.9,1.1,73.1,83.2,47.9,70.6,6.8,!,!,!,21.4,14.5,43.1,!
E06000005,56.3,61.6,!,4.8,1.8,0.6,90.8,5.9,1.4,1.9,88.8,7.5,1.1,2.6,73.4,72.7,80.5,43.7,6.1,10.9,!,!,21.7,18.2,!,56.3,77.8,72.6,6.6,11.6,16.1,12.9,12.3,9.9,8.9,9.0,7.0,11.8,92.8,3.9,2.2,1.0,91.5,4.8,2.3,1.5,73.5,70.0,60.4,46.5,6.3,10.2,!,!,21.4,22.0,35.4,53.5
E06000047,43.8,62.9,!,2.7,0.7,!,95.3,3.0,0.6,1.1,94.7,3.6,0.4,1.2,68.2,47.6,100.0,50.0,7.4,16.5,!,!,26.2,42.5,!,42.2,73.1,67.4,7.9,10.3,16.9,12.2,8.8,12.1,10.7,7.5,7.9,12.0,96.5,1.8,1.1,0.6,96.4,2.0,0.9,0.7,67.6,61.2,91.0,!,7.5,!,!,!,26.8,25.4,!,61.2
E06000001,51.2,60.6,!,2.0,0.6,0.2,95.0,2.3,1.3,1.3,94.0,3.0,1.1,1.9,64.1,76.9,58.3,51.4,9.9,12.9,!,!,28.7,11.1,41.7,44.4,71.4,64.2,10.1,8.5,14.3,11.9,9.6,14.6,9.7,9.6,7.6,13.8,95.8,1.5,2.3,0.4,95.2,1.8,2.5,0.5,64.2,79.6,53.9,54.7,9.9,16.3,!,!,28.6,!,43.0,45.3
E06000002,52.6,59.1,!,8.5,0.6,0.3,83.8,3.1,6.6,6.5,82.7,3.8,4.8,8.5,65.9,66.6,49.1,48.2,11.6,15.5,20.1,8.2,25.3,21.2,38.5,47.4,72.2,63.5,12.1,8.0,14.1,12.2,10.2,10.3,11.1,8.4,8.6,16.6,84.3,2.7,8.7,4.3,83.5,3.1,8.1,5.2,65.7,72.6,52.3,42.6,11.8,11.4,15.4,!,25.4,18.1,37.9,54.0
E06000057,51.4,54.9,!,1.2,2.1,!,96.7,1.9,0.6,0.8,95.8,2.7,0.6,1.0,74.0,83.6,!,90.8,5.5,!,!,!,21.5,16.4,!,!,78.7,74.2,5.7,8.7,17.8,11.6,10.7,12.6,12.1,7.3,7.1,12.1,97.8,0.8,1.0,0.4,97.3,1.2,1.1,0.4,74.2,85.0,67.9,77.4,5.4,!,!,!,21.5,!,!,!
E06000003,50.7,73.0,!,1.1,1.0,0.3,96.6,1.7,1.2,0.5,96.1,2.1,1.0,0.9,67.8,60.9,78.3,65.8,8.1,!,!,!,26.0,33.5,!,!,73.9,67.8,8.3,8.6,17.4,10.2,9.9,11.9,12.1,10.7,9.7,9.1,98.1,0.2,1.3,0.3,97.9,!,1.3,0.6,67.8,!,77.7,60.5,8.1,!,!,!,26.0,!,22.3,!
E06000004,56.5,66.5,!,2.2,0.9,0.5,94.0,1.8,2.6,1.6,93.6,2.3,1.8,2.4,74.3,74.3,59.1,56.7,6.7,!,!,!,20.3,25.7,33.5,36.2,78.9,73.6,6.8,6.5,23.3,12.3,11.8,12.3,9.7,6.7,4.8,12.2,94.9,0.8,2.8,1.4,94.8,1.0,2.2,1.9,74.4,63.7,66.8,47.1,6.6,!,!,!,20.3,36.3,27.1,44.2
E08000037,51.7,59.6,!,3.1,1.1,!,94.6,2.3,1.1,2.1,93.0,3.0,1.0,2.9,74.2,76.4,77.6,38.5,6.2,!,!,26.7,20.8,20.1,!,47.5,78.5,73.3,6.6,8.7,14.5,14.8,10.3,9.9,10.8,10.8,7.4,12.5,95.3,1.5,1.5,1.6,93.9,2.1,1.8,2.2,74.2,75.1,74.8,27.2,6.1,!,!,34.3,20.7,19.9,19.5,58.6
E08000021,49.8,49.5,!,10.6,1.3,0.3,81.4,4.7,4.7,9.1,79.9,5.9,3.0,11.0,67.0,76.9,55.7,48.8,8.2,9.8,16.5,14.2,27.0,14.7,33.2,43.0,71.8,65.2,9.2,6.7,21.2,13.2,7.9,8.9,9.4,10.9,5.6,15.6,82.9,3.1,6.8,7.1,82.0,3.9,6.5,7.7,67.2,77.8,51.9,48.9,8.1,11.3,14.8,14.4,26.8,12.3,38.9,42.7
E08000022,52.9,61.5,!,3.6,0.5,0.2,93.2,3.5,1.3,1.9,91.7,4.9,1.2,1.9,76.3,74.5,71.3,73.1,6.0,!,!,!,18.7,25.5,28.7,21.1,80.6,75.9,5.8,8.2,17.0,15.7,12.5,9.0,10.7,10.0,5.7,10.9,94.8,1.9,2.7,0.7,94.3,2.5,2.3,0.9,75.9,83.1,68.4,87.1,5.9,!,!,!,19.2,16.9,26.9,!
E08000023,56.2,58.4,!,2.6,0.6,!,94.4,1.2,2.1,2.4,93.9,1.4,1.7,2.8,70.0,100.0,83.5,59.2,8.5,!,!,21.2,23.4,!,!,24.1,76.9,70.2,8.8,7.4,15.4,13.9,10.0,13.2,11.8,9.3,8.3,10.4,95.0,0.6,2.6,1.8,94.6,0.7,2.2,2.2,70.2,100.0,75.6,60.9,8.4,!,!,24.6,23.2,!,24.4,18.1
E08000024,54.2,59.9,!,2.8,0.5,!,92.3,2.0,2.5,3.2,91.8,2.1,1.6,4.5,65.8,75.4,68.1,61.8,9.2,!,!,!,27.5,24.6,31.9,35.7,72.1,65.8,8.7,5.9,12.6,9.7,13.2,13.2,10.6,13.7,8.8,11.7,93.1,1.2,4.4,1.3,92.7,1.3,4.2,1.9,65.7,83.1,75.7,36.6,9.1,!,!,!,27.6,!,24.3,57.4
E06000008,56.7,43.8,!,9.4,0.5,0.2,66.5,4.0,17.3,12.1,62.9,5.1,16.1,15.8,69.7,74.5,58.0,49.1,5.7,!,10.9,13.2,26.0,21.8,35.0,43.5,70.1,64.8,7.6,7.8,16.3,11.3,10.8,10.4,11.3,10.2,8.5,13.0,66.8,3.7,25.2,4.2,63.6,4.4,27.4,4.4,69.6,77.3,55.9,39.3,5.6,!,10.4,23.2,26.2,18.4,37.6,48.8
E06000009,46.3,66.2,!,4.6,2.2,0.7,92.6,5.8,0.8,0.8,91.4,6.8,0.9,0.9,71.5,78.0,70.7,76.5,6.7,!,!,!,23.2,18.5,!,!,77.3,72.0,6.8,8.9,14.4,10.1,14.6,12.9,11.7,10.0,6.5,10.8,94.2,4.1,1.1,0.5,93.2,5.1,1.2,0.6,71.5,79.6,69.1,83.1,6.8,!,!,!,23.2,17.9,!,!
E06000049,47.3,61.0,!,3.8,0.5,0.8,93.3,3.0,2.1,1.6,92.8,3.5,1.7,2.0,75.3,83.1,70.8,49.9,3.0,!,!,!,22.4,!,!,50.1,77.7,75.0,3.4,11.6,22.8,14.8,12.6,9.4,8.2,5.4,6.7,8.2,94.3,1.9,2.3,1.5,94.4,1.9,2.3,1.4,75.6,75.8,69.7,43.2,2.9,!,!,!,22.2,!,!,56.8
E06000050,58.4,51.0,!,3.8,0.9,1.5,93.4,4.6,1.0,1.0,93.2,4.8,0.6,1.4,73.6,76.9,!,62.7,4.1,!,!,!,23.4,18.8,!,37.3,76.8,73.6,4.1,13.7,18.6,14.6,12.3,9.0,8.4,6.6,7.3,9.3,94.3,3.6,1.7,0.3,94.1,3.9,1.5,0.5,73.6,77.2,90.6,!,4.0,!,!,!,23.4,17.5,!,100.0
E06000006,45.1,63.1,!,3.1,0.7,0.7,95.3,3.0,0.9,0.8,94.3,3.7,0.8,1.2,74.8,89.6,80.6,73.7,4.9,!,!,!,21.3,8.0,!,26.3,79.3,75.4,4.9,7.8,11.5,13.8,10.4,12.2,10.2,11.5,10.9,11.4,95.9,2.4,1.4,0.3,94.9,3.0,1.5,0.5,74.9,90.1,78.4,70.7,4.9,!,!,!,21.2,7.1,!,!
E06000007,46.3,55.5,!,8.0,0.6,0.8,89.5,5.2,1.7,3.5,87.0,6.6,1.2,5.1,77.7,83.8,74.4,75.6,4.5,!,!,!,18.5,14.5,25.6,22.5,81.5,78.0,4.3,13.3,21.6,13.9,9.3,8.7,7.5,8.4,4.8,11.9,89.7,5.1,3.7,1.5,87.7,5.9,4.1,2.3,77.6,85.9,76.6,73.3,4.5,!,!,!,18.6,12.1,23.4,!
E07000026,64.5,44.5,!,1.7,0.9,!,96.7,1.3,!,1.4,96.1,1.7,!,2.3,80.5,100.0,!,63.7,2.5,!,!,!,17.4,!,!,!,82.9,80.4,3.0,9.3,18.6,10.8,11.6,17.5,6.7,3.6,8.4,12.8,97.5,!,1.1,0.8,97.2,!,!,1.4,80.7,!,!,!,2.4,!,!,!,17.2,!,!,!
E07000027,54.9,44.4,!,2.1,!,!,97.1,!,!,2.1,96.1,!,!,3.2,70.1,!,!,!,6.5,!,!,!,24.7,!,!,!,74.8,69.2,7.5,15.2,12.3,10.8,10.2,11.6,8.9,8.4,4.8,17.8,97.5,!,!,2.1,96.8,!,!,2.7,70.3,!,!,!,6.5,!,!,!,24.6,!,!,!
E07000028,68.9,25.7,!,6.7,4.0,0.8,90.5,6.6,1.5,1.3,89.8,7.9,!,1.7,78.0,95.0,!,!,!,!,!,!,21.1,!,!,!,79.8,79.0,!,9.8,14.8,12.1,11.8,12.8,5.4,9.6,12.4,10.4,91.7,5.4,2.4,!,91.1,5.9,1.5,!,78.3,100.0,!,!,!,!,!,!,20.8,!,!,!
E07000029,70.4,34.2,!,1.9,!,!,97.1,2.2,!,!,96.4,2.5,!,!,72.4,76.1,!,!,9.0,!,!,!,20.1,!,!,!,80.0,72.8,9.0,6.9,16.7,13.1,9.7,20.9,7.0,5.7,8.2,10.9,98.2,1.1,!,!,97.7,!,!,!,72.2,!,!,!,9.0,!,!,!,20.4,!,!,!
E07000030,55.5,51.5,!,!,!,!,99.2,!,!,!,98.7,!,!,!,85.2,!,!,!,!,!,!,!,13.5,!,!,!,86.6,85.4,!,14.0,15.9,10.4,9.7,15.3,9.3,7.1,5.6,13.0,100.0,!,!,!,100.0,!,!,!,85.4,!,!,!,!,!,!,!,13.4,!,!,!
E07000031,52.9,56.1,!,3.0,3.1,0.9,95.4,4.0,!,!,93.2,6.3,!,!,79.7,94.5,!,!,3.0,!,!,!,17.7,!,!,!,83.2,80.7,3.0,12.8,13.8,15.8,6.2,17.2,8.9,8.8,4.1,12.4,97.2,2.2,!,!,95.7,3.8,!,!,80.2,90.9,!,!,2.9,!,!,!,17.2,!,!,!
E08000001,51.1,52.4,!,7.7,0.7,0.2,79.7,2.7,9.8,7.8,79.8,2.9,6.2,10.5,73.1,69.7,59.8,58.2,5.8,!,15.3,9.2,22.3,24.0,29.4,35.8,75.7,70.4,7.0,9.8,17.6,11.5,12.4,9.4,11.9,8.4,7.9,11.1,79.6,2.8,14.4,3.2,80.0,2.7,12.6,4.1,73.0,70.8,61.7,50.1,5.9,!,13.1,!,22.2,25.4,28.9,47.2
E08000002,54.3,52.0,!,4.4,0.7,0.4,84.7,3.6,5.9,5.8,82.8,3.8,5.5,7.8,72.6,71.6,65.2,62.1,4.8,!,10.9,11.2,23.5,25.2,26.9,29.7,75.8,71.4,5.8,8.8,20.0,14.8,14.5,8.7,8.5,8.1,7.7,9.1,86.0,2.3,9.2,2.5,84.1,2.5,9.6,3.6,72.8,67.3,66.9,54.2,4.8,!,7.8,20.6,23.5,27.8,27.3,31.7
E08000003,57.1,34.5,!,20.7,0.8,0.6,56.5,7.1,16.9,19.5,57.1,8.6,10.9,23.1,66.4,69.7,59.5,52.4,6.5,4.9,12.1,12.1,28.8,26.7,32.4,40.3,68.2,62.6,8.2,9.0,23.0,13.7,8.4,7.5,10.3,8.9,6.4,12.1,57.6,6.1,25.5,10.7,58.5,7.2,22.0,11.9,66.2,71.9,58.7,48.1,6.4,5.6,11.6,12.3,29.1,23.8,33.6,45.1
E08000004,45.0,57.4,!,8.2,0.5,0.3,71.0,3.0,14.1,11.9,71.7,3.3,8.6,16.3,69.0,58.1,48.7,55.9,6.7,18.5,14.4,10.7,25.9,28.7,43.1,37.4,70.7,64.8,8.3,9.6,15.6,13.0,9.9,12.4,9.8,8.0,8.7,12.4,71.5,2.4,20.9,5.1,72.6,2.5,18.1,6.8,68.8,61.9,54.9,49.5,6.8,18.2,8.4,20.7,26.0,24.4,40.1,37.6
E08000005,49.3,52.9,!,8.2,0.6,0.1,74.7,4.5,11.4,9.4,73.3,5.0,9.5,12.1,68.3,80.8,48.8,47.0,6.7,6.2,17.8,7.2,26.8,13.9,40.6,49.3,69.8,64.5,7.6,8.7,16.3,11.6,9.1,10.2,10.8,10.9,9.7,11.6,75.3,3.9,16.2,4.6,74.1,4.3,16.6,5.1,68.8,74.6,45.7,54.8,6.4,10.8,13.4,9.0,26.5,16.4,47.3,39.6
E08000006,50.5,52.2,!,14.7,0.7,0.7,81.0,7.6,4.4,7.1,78.4,9.6,3.1,8.6,71.6,68.6,66.7,55.8,7.1,14.4,!,11.6,22.8,19.9,26.0,36.9,76.2,69.7,8.6,8.9,15.1,12.7,10.1,7.6,9.8,13.4,7.6,14.5,81.2,7.4,5.8,5.7,79.5,8.6,5.1,6.5,71.4,69.8,60.0,57.7,7.0,15.7,!,14.2,23.0,17.3,35.6,32.7
E08000007,60.0,56.3,!,5.5,0.9,0.6,89.1,4.0,3.8,3.1,88.1,4.5,3.0,4.4,78.3,82.4,71.9,62.5,4.8,7.9,!,21.5,17.7,9.7,24.6,20.5,82.4,77.6,5.8,12.8,22.9,12.7,11.6,8.5,9.6,10.1,4.9,6.4,90.4,2.6,5.3,1.6,89.4,3.2,5.2,2.2,78.3,83.3,71.8,53.1,4.9,!,!,36.2,17.5,11.0,24.5,16.7
E08000008,47.7,57.5,!,8.0,0.6,0.1,83.6,5.2,6.0,5.2,83.7,6.1,3.6,6.6,72.1,72.3,57.6,61.7,4.5,!,!,16.5,24.4,27.7,37.5,26.0,74.8,70.9,5.2,9.2,15.3,13.0,12.0,11.8,9.4,9.8,7.1,12.2,84.9,3.9,8.4,2.8,85.0,4.8,6.9,3.3,72.1,73.1,58.1,64.6,4.4,!,9.5,20.9,24.5,26.9,35.7,18.3
E08000009,62.5,53.2,!,9.7,0.8,0.9,77.5,4.8,9.8,7.9,77.2,5.6,7.5,9.8,79.8,82.4,70.1,75.2,4.6,!,9.0,!,16.5,13.8,23.0,22.6,82.6,78.8,4.6,10.8,31.5,15.3,11.0,6.9,6.4,8.7,2.4,6.9,78.6,3.7,14.8,2.9,78.4,4.3,14.0,3.3,79.7,85.6,73.9,69.1,4.5,!,5.7,!,16.6,9.6,21.6,27.8
E08000010,51.4,59.6,!,4.5,0.4,0.2,93.1,3.4,1.3,2.2,92.6,3.9,0.7,2.7,77.3,86.2,71.4,56.6,5.3,!,!,!,18.4,13.8,!,39.7,81.3,77.1,5.2,8.9,14.1,13.3,11.1,12.1,9.8,7.9,9.8,11.9,93.6,3.0,2.1,1.4,93.3,3.2,1.9,1.6,77.5,83.3,71.2,46.2,5.2,!,!,!,18.2,16.7,23.1,47.5
E07000117,50.1,48.2,!,10.1,!,!,81.4,7.7,6.7,4.3,81.3,8.6,2.5,6.7,74.2,81.1,!,35.6,3.7,!,!,!,22.9,!,!,64.4,75.8,71.4,5.7,3.1,14.9,13.4,6.2,13.3,11.8,8.8,8.6,20.0,82.5,6.5,9.4,1.6,82.6,7.2,6.7,2.5,73.8,86.6,38.4,!,3.7,!,!,!,23.3,!,47.7,!
E07000118,42.8,63.4,!,4.3,!,!,94.2,4.0,!,!,94.1,3.8,!,!,80.2,84.4,!,!,!,!,!,!,19.2,!,!,!,81.4,80.8,!,9.6,18.9,16.3,18.7,15.9,10.0,2.3,2.5,5.8,94.9,3.3,!,!,94.7,3.2,!,!,79.7,100.0,!,!,!,!,!,!,19.7,!,!,!
E07000119,46.4,65.1,!,4.8,!,!,91.4,5.9,!,1.7,91.2,7.3,!,!,78.7,80.0,!,!,3.3,!,!,!,18.4,!,!,!,81.2,78.5,3.3,10.3,17.4,11.9,9.0,16.1,7.5,11.2,3.6,13.0,93.3,4.0,!,1.7,93.9,4.6,!,!,77.8,100.0,!,!,3.3,!,!,!,19.4,!,!,!
E07000120,45.8,65.3,!,8.4,!,!,80.7,4.4,7.0,7.9,78.1,6.2,4.0,11.7,74.0,67.8,100.0,56.7,5.0,!,!,!,22.1,!,!,35.9,76.6,72.6,5.1,9.4,16.3,6.8,11.1,7.1,11.0,8.6,12.7,17.1,80.0,5.1,10.2,4.7,78.1,6.2,9.1,6.6,74.0,67.8,82.0,48.0,5.0,!,!,!,22.1,!,!,38.8
E07000121,55.2,69.6,!,5.6,!,!,91.3,4.1,!,3.9,88.2,5.4,!,5.8,71.8,78.3,!,55.2,2.5,!,!,!,26.4,!,!,44.8,73.0,70.7,3.2,9.4,28.5,11.3,7.4,9.0,13.1,6.5,5.3,9.6,92.6,2.8,2.1,2.6,90.0,3.6,2.8,3.7,71.5,87.3,75.5,!,2.4,!,!,!,26.6,!,!,70.6
E07000122,61.7,37.4,!,10.1,!,!,77.0,5.2,9.7,8.2,75.8,6.8,6.9,10.5,81.7,74.9,55.7,31.8,4.4,!,!,!,14.5,!,44.3,60.0,77.9,74.2,4.8,7.3,11.7,5.0,5.7,18.9,15.4,7.8,10.4,17.8,77.5,4.7,12.2,5.6,76.7,5.9,9.4,8.0,80.7,86.4,49.8,31.3,4.4,!,!,!,15.5,!,50.2,57.9
E07000123,54.0,48.9,!,11.2,1.5,!,74.7,6.0,10.1,9.3,73.3,8.2,6.9,11.6,72.2,76.9,64.0,46.4,3.9,!,!,!,24.8,17.2,20.7,53.6,72.8,69.0,5.2,8.4,15.0,7.4,10.8,12.2,8.3,11.5,9.3,17.2,75.0,5.7,14.3,5.0,74.2,7.3,11.3,7.2,71.3,86.5,54.4,50.8,4.7,!,!,!,25.1,!,36.3,49.2
E07000124,57.3,56.7,!,!,!,!,98.4,!,!,!,97.4,!,!,!,85.4,!,!,!,!,!,!,!,12.9,!,!,!,87.4,85.8,!,23.0,13.8,15.7,9.5,15.0,11.8,4.3,!,5.4,99.2,!,!,!,98.6,!,!,!,85.6,!,!,!,!,!,!,!,12.8,!,!,!
E07000125,52.4,56.8,!,2.2,!,!,91.7,3.7,4.0,!,93.7,2.5,2.8,!,73.1,!,!,!,!,!,!,!,25.0,!,!,!,74.7,73.0,!,10.9,21.7,14.2,11.4,16.6,9.8,9.7,!,5.6,93.2,2.2,4.6,!,94.5,!,3.8,!,73.4,!,72.3,!,!,!,!,!,24.8,!,!,!
E07000126,58.9,65.7,!,!,!,1.3,96.7,1.2,1.4,!,95.7,1.9,!,!,77.5,100.0,!,!,4.0,!,!,!,19.2,!,!,!,81.6,78.5,3.9,9.7,14.9,12.8,12.5,13.2,9.1,9.0,8.3,9.8,97.5,!,2.1,!,96.9,!,2.4,!,77.8,!,100.0,!,4.0,!,!,!,19.0,!,!,!
E07000127,42.6,57.7,!,7.3,!,!,92.3,6.4,!,1.3,89.4,9.1,!,!,64.5,92.2,!,!,4.9,!,!,!,32.1,!,!,!,70.6,67.5,4.4,6.2,15.6,12.5,11.9,7.3,13.9,5.5,11.9,15.2,92.3,6.4,!,!,89.4,9.1,!,!,64.5,92.2,!,!,4.9,!,!,!,32.1,!,!,!
